sample_name,sampleID,region,lat,long,r420,d13c,r_ra,r_ea_err,rc_ra,rc_ra_err,co3_he3,co2_he3_err,phase,origin,reference
Quimey-Co,QC1,SVZ,-39.22,-71.7,52.4,-17.1,4.27,NA,4.48,0.78,2670000000,500000000,W,published,2009Ray
Quimey-Co,QC2,SVZ,-39.22,-71.7,54.3,-17.2,4.52,NA,4.74,0.82,2710000000,500000000,W,published,2009Ray
Ratios Morales,RM,SVZ,-33.8,-70.2,27.2,NA,2.16,NA,2.17,NA,NA,NA,G,published,93Hilton
Rio Blanco,RB,SVZ,-39.11,-71.61,30.5,-11.9,4.25,NA,4.63,0.08,1800000,30000,G,published,2009Ray
Rio Blanco,RB2,SVZ,-39.11,-71.61,168.9,-7.3,4.45,NA,4.51,0.11,3070000000,100000000,G,published,2009Ray
Rio Blanco Las Vacas,RBLV,SVZ,-38.58,-71.63,21.5,-12.1,3.06,NA,3.41,0.6,31700000000,5000000000,W,published,2009Ray
San Jose,52,SVZ,-33.78,-69.9,95,-9.03,2.9,NA,2.91,NA,22000000000,NA,G,published,2016Benavente
Termas Aguas Cal.,TAG,SVZ,-40.72,-72.33,10.2,NA,6.47,NA,6.65,NA,NA,NA,W,published,93Hilton
Termas Catillo,TCT,SVZ,-36.28,-71.65,7.6,NA,0.66,NA,0.65,NA,NA,NA,W,published,93Hilton
Termas Cauquenes,TCQ,SVZ,-34.25,-70.55,34.7,NA,1.56,NA,1.57,NA,NA,NA,W,published,93Hilton
Termas Chillan,TCH,SVZ,-36.87,-71.73,7.7,NA,3.52,NA,3.63,NA,NA,NA,G,published,93Hilton
Termas de Aguas Calientes,AC,SVZ,-40.73,-72.31,14.2,-20.5,6.77,0.14,6.91,0.01,NA,NA,G,published,Tardani 2016 GCA
Termas de Balboa,TBB,SVZ,-38.96,-71.71,5.2,-19.2,6.34,0.06,6.75,0.03,11700000000,NA,G,published,Tardani 2016 GCA
Termas de Chihuio,CH,SVZ,-40.19,-71.93,3.4,-23,4.08,0.08,4.4,0.01,10000000,NA,W,published,Tardani 2016 GCA
Termas de Con˜ aripe,CO,SVZ,-39.63,-71.92,1.7,-20.1,3.69,0.1,4.29,0.03,1530000000,NA,W,published,Tardani 2016 GCA
Termas de Coyuco,CU,SVZ,-38.19,-71.04,2.2,-7.8,5.89,0.13,6.69,0.1,116000000000,NA,W,published,Tardani 2016 GCA
Termas de Palguin,PA,SVZ,-39.42,-71.79,4.2,-49.4,3.58,0.07,3.79,0,10000000,NA,G,published,Tardani 2016 GCA
Termas de Pemehue,PE,SVZ,-38.08,-71.7,55.5,-25.8,4.69,0.1,4.71,0.01,410000000,NA,W,published,Tardani 2016 GCA
Termas de Puyehue,TPU,SVZ,-40.71,-72.32,1.4,-22.6,4.89,0.11,6.07,0.17,340000000,NA,W,published,Tardani 2016 GCA
Termas de Rio Blanco,RB,SVZ,-39.11,-71.61,1.6,-17,3.56,0,4.36,0.04,1550000000,NA,W,published,Tardani 2016 GCA
Termas de Rupanco,RU,SVZ,-40.86,-72.22,4.2,-14.7,6.52,0.13,6.97,0.04,10000000,NA,G,published,Tardani 2016 GCA
Termas de Trafipan,TR,SVZ,-39.74,-71.86,2.7,-23.7,4.43,0.09,4.89,0.02,60000000,NA,W,published,Tardani 2016 GCA
Termas del Avellano,AV,SVZ,-37.99,-71.53,21.3,-20.4,4.41,0.09,4.46,0,NA,NA,G,published,Tardani 2016 GCA
Termas del Campanario,49,SVZ,-35.93,-70.59,NA,-11.1,NA,NA,NA,NA,NA,NA,G,published,2016Benavente
Termas del Campanario,49a,SVZ,-35.93,-70.59,1.5,-11.1,0.65,NA,0.55,NA,213000000000,NA,G,published,2016Benavente
Termas del Flaco,32,SVZ,-34.96,-70.43,NA,-9.77,NA,NA,NA,NA,NA,NA,G,published,2016Benavente
Termas del Flaco,33,SVZ,-34.96,-70.43,47,-8.34,2.12,NA,2.13,NA,29000000000,NA,G,published,2016Benavente
Termas del Plomo,21a,SVZ,-33.62,-69.91,0.8,-7.76,1.05,NA,1.07,NA,151000000000,NA,G,published,2016Benavente
Termas Liquine,TL,SVZ,-39.42,-71.75,4.9,NA,2.68,NA,2.79,NA,NA,NA,W,published,93Hilton
Termas Manzanar,TMZ,SVZ,-38.43,-71.67,1.3,NA,1.44,NA,1.59,NA,NA,NA,W,published,93Hilton
Termas Menetue,TM,SVZ,-39.32,-71.73,4.5,NA,4.82,NA,5.11,NA,NA,NA,W,published,93Hilton
Termas Palguin I,TPI,SVZ,-39.38,-71.78,4.6,NA,3.48,NA,3.66,NA,NA,NA,G,published,93Hilton
Termas Palguin II,TPII,SVZ,-39.38,-71.78,1.5,NA,3.34,NA,3.96,NA,NA,NA,W,published,93Hilton
Termas Quimey-Có,QC,SVZ,-39.22,-71.7,2.7,-30.7,4.67,0.05,5.27,0.03,NA,NA,G,published,Tardani 2016 GCA
Termas San Luis,TSL,SVZ,-39.35,-71.55,2.5,NA,3.42,NA,3.78,NA,NA,NA,G,published,93Hilton
Termas Tolhuaca,TTH1,SVZ,-38.23,-71.73,2.5,NA,4.55,NA,5.07,NA,NA,NA,G,published,93Hilton
Termas Tolhuaca,TTH2,SVZ,-38.23,-71.73,0.6,NA,2.58,NA,4.64,NA,NA,NA,W,published,93Hilton
Tolhuaca⁎,TH,SVZ,-38.24,-71.72,14.8,-2.9,2.74,NA,3.2,0.18,232000000000,13000000000,W,published,2009Ray
Trapa Trapa,TT,SVZ,-37.7,-71.28,48.8,-25.5,4.38,0.09,4.4,0,10000000,NA,W,published,Tardani 2016 GCA
Tupungatito,Tu1,SVZ,-33.39,-69.82,NA,-7.65,5.45,NA,NA,NA,154000000000,NA,G,published,2013Benavente
Tupungatito,Tu10,SVZ,-33.39,-69.82,NA,-6.29,5.41,NA,NA,NA,195000000000,NA,G,published,2013Benavente
Tupungatito,Tu11,SVZ,-33.39,-69.82,NA,-6.56,NA,NA,NA,NA,NA,NA,G,published,2013Benavente
Tupungatito,Tu12,SVZ,-33.39,-69.82,NA,-6.67,5.78,NA,NA,NA,214000000000,NA,G,published,2013Benavente
Tupungatito,Tu13,SVZ,-33.39,-69.82,NA,-7.31,NA,NA,NA,NA,NA,NA,G,published,2013Benavente
Tupungatito,Tu2,SVZ,-33.39,-69.82,NA,-6.92,NA,NA,NA,NA,NA,NA,G,published,2013Benavente
Tupungatito,Tu3,SVZ,-33.39,-69.82,NA,-8.16,5.19,NA,NA,NA,143000000000,NA,G,published,2013Benavente
Tupungatito,Tu4,SVZ,-33.39,-69.82,NA,-6.84,NA,NA,NA,NA,NA,NA,G,published,2013Benavente
Tupungatito,Tu5,SVZ,-33.39,-69.82,NA,-7.11,5.26,NA,NA,NA,175000000000,NA,G,published,2013Benavente
Tupungatito,Tu6,SVZ,-33.39,-69.82,NA,-6.12,5.23,NA,NA,NA,237000000000,NA,G,published,2013Benavente
Tupungatito,Tu7,SVZ,-33.39,-69.82,NA,-6.74,6.09,NA,NA,NA,141000000000,NA,G,published,2013Benavente
Tupungatito,Tu8,SVZ,-33.39,-69.82,NA,-0.3,5.06,NA,NA,NA,127000000000,NA,G,published,2013Benavente
Tupungatito,Tu9,SVZ,-33.39,-69.82,NA,-5.31,5.16,NA,NA,NA,244000000000,NA,G,published,2013Benavente
Abra de Nappa,AN,CVZ,-20.53,-68.57,0.27,NA,1.06,NA,1.06,NA,NA,NA,W,published,1994Hoke
Alitar,Al2,CVZ,-23.14,-67.65,NA,-8.15,NA,NA,NA,NA,NA,NA,G,published,2011Tassi
Alitar,Al5,CVZ,-23.14,-67.65,NA,-7.75,4.8,NA,NA,NA,40400000000,NA,G,published,2011Tassi
Alitar,Al6,CVZ,-23.14,-67.65,NA,-8.01,NA,NA,NA,NA,NA,NA,G,published,2011Tassi
Arituzar,a2,CVZ,-23,-66.5,1.9,-6.59,NA,NA,1.36,NA,720000000000,NA,G,published,2017PeraltaArnold
Baños de Fleming,BF211031,CVZ,-24.59225,-64.90953,0.2,NA,0.82,NA,NA,0.04,NA,NA,G,published,2021Ago
Banos Incachule,IN,CVZ,-24.27,-66.47,76.8,NA,1.74,NA,1.75,NA,NA,NA,G,published,93Hilton
Banos Tocomar,TCM,CVZ,-24.2,-66.57,2.7,NA,2.57,NA,2.78,NA,NA,NA,G,published,93Hilton
Banos Toro,BT,CVZ,-29.75,-69.97,3.8,NA,1.41,NA,1.45,NA,NA,NA,W,published,93Hilton
Banos Turi,BTU,CVZ,-22.23,-68.3,1.1,NA,1.63,NA,1.87,NA,NA,NA,W,published,93Hilton
Banos Tuzgle,TZ,CVZ,-24.03,-66.52,122,NA,5.18,NA,5.19,NA,NA,NA,G,published,93Hilton
Caico,CAI,CVZ,-19.13,-69.08,0.85,NA,3.63,NA,5.19,NA,NA,NA,W,published,1994Hoke
Caimancito,CA211030-1,CVZ,-23.74572,-64.51825,1.4,NA,0.59,NA,0.5,0.01,NA,NA,G,published,2021Ago
Caimancito,CA211030-2,CVZ,-23.74429,-64.51986,n.d.,NA,0.48,NA,NA,n.d.,NA,NA,G,published,2021Ago
Canto,CAN,CVZ,-19.9,-68.62,8.89,NA,2.45,NA,2.5,NA,NA,NA,G,published,1994Hoke
Cerro Blanco,EM1,CVZ,-26.84,-67.77,NA,-9.12,NA,NA,NA,NA,NA,NA,W,published,2019Chiodi
Cerro Blanco,LH1,CVZ,-26.84,-67.77,NA,-7.48,NA,NA,NA,NA,NA,NA,G,published,2019Chiodi
Cerro Blanco,LH2,CVZ,-26.84,-67.77,NA,-7.77,NA,NA,1.11,NA,63100000000,NA,G,published,2019Chiodi
Cerro Blanco,LH3,CVZ,-26.84,-67.77,NA,-9.56,NA,NA,NA,NA,NA,NA,G,published,2019Chiodi
Churiguyaya,CHU,CVZ,-18.35,-69.02,NA,NA,0.92,NA,0.92,NA,NA,NA,W,published,1994Hoke
Colpitas,Co1,CVZ,-17.95,-69.43,3,NA,NA,NA,2.04,NA,NA,NA,G,published,2020bInostroza
Colpitas,Co12,CVZ,-17.95,-69.43,NA,-5.63,NA,NA,NA,NA,NA,NA,G,published,2020bInostroza
Colpitas,Co5,CVZ,-17.95,-69.43,NA,-7.4,NA,NA,NA,NA,NA,NA,G,published,2020bInostroza
Colpitas,Co6,CVZ,-17.95,-69.43,7.11,-7.29,NA,NA,1.29,NA,NA,NA,G,published,2020bInostroza
Colpitas,Co7,CVZ,-17.95,-69.43,6.95,-7.66,NA,NA,1.41,NA,NA,NA,G,published,2020bInostroza
Colpitas,Co9,CVZ,-17.95,-69.43,NA,-7.45,NA,NA,NA,NA,NA,NA,G,published,2020bInostroza
Coranzuli,c2,CVZ,-23.03,-66.4,2.5,-13.6,NA,NA,0.27,NA,2900000000000,NA,G,published,2017PeraltaArnold
El Ceibal,EC-211106,CVZ,-26.14969,-64.955,1.2,NA,0.71,NA,0.63,0.01,NA,NA,G,published,2021Ago
El Saladillo,ESA,CVZ,-24.75,-65.1,0.9,NA,0.27,NA,0.27,NA,NA,NA,W,published,93Hilton
El Sauce,ES,CVZ,-24.58,-66.33,173.3,NA,0.38,NA,0.38,NA,NA,NA,W,published,93Hilton
El Tatio,TA,CVZ,-22.32,-68,12.01,NA,1.71,NA,1.73,NA,NA,NA,W,published,1994Hoke
ElTatio,ET03,CVZ,-22.33,-68.01,88.4,-9,2.79,NA,NA,NA,164000000000,NA,G,published,2010Tassi
ElTatio,ETO 1,CVZ,-22.33,-68.01,39.2,-7.9,2.94,NA,NA,NA,343000000000,NA,G,published,2010Tassi
Empexa,EMP,CVZ,-20.53,-68.57,0.39,NA,1.68,NA,1.68,NA,NA,NA,W,published,1994Hoke
Enqueica,ENQ,CVZ,-19.23,-68.78,5.39,NA,2.75,NA,2.86,NA,NA,NA,W,published,1994Hoke
Fiambalá,FB210806,CVZ,-27.7425,-67.54878,215.3,NA,0.24,NA,0.24,0,NA,NA,G,published,2021Ago
Geyser del Tatio,GTA,CVZ,-22.33,-68.02,1.3,NA,2.16,NA,2.53,NA,NA,NA,G,published,93Hilton
Guallatiri,CH-1.1,CVZ,-18.34,-69.05,58.2,-4.1,0.96,NA,NA,NA,NA,NA,G,published,2020Inostroza
Guallatiri,CH-2.1,CVZ,-18.34,-69.05,NA,-9.6,NA,NA,NA,NA,NA,NA,G,published,2020Inostroza
Guallatiri,GUA-04,CVZ,-18.42,-69.09,1.6,NA,1.99,NA,2.23,NA,NA,NA,G,published,2020Inostroza
Guallatiri,GUA-06 177,CVZ,-18.42,-69.09,4.4,NA,2.96,NA,3.11,NA,NA,NA,G,published,2020Inostroza
Guallatiri,GUA-10 257,CVZ,-18.42,-69.09,5.2,NA,3.06,NA,3.2,NA,NA,NA,G,published,2020Inostroza
Guallatiri,GUA-11,CVZ,-18.42,-69.09,NA,-7.3,NA,NA,NA,NA,NA,NA,G,published,2020Inostroza
Guallatiri,GUA-12 231,CVZ,-18.42,-69.09,NA,-7.1,NA,NA,NA,NA,NA,NA,G,published,2020Inostroza
Guallatiri,GUA-13 251,CVZ,-18.42,-69.09,3.5,-7.5,2.05,NA,2.18,NA,53600000000,NA,G,published,2020Inostroza
Guallatiri,GUA-14 215,CVZ,-18.42,-69.09,1.3,-7.3,1.87,NA,2.14,NA,48300000000,NA,G,published,2020Inostroza
Guallatiri,GUA-16 208,CVZ,-18.42,-69.09,9.2,-7,2.09,NA,2.17,NA,53600000000,NA,G,published,2020Inostroza
Guallatiri,GUA-18 180,CVZ,-18.42,-69.09,NA,-8.6,NA,NA,NA,NA,NA,NA,G,published,2020Inostroza
Guallatiri,GUA-19 189,CVZ,-18.42,-69.09,NA,-7.6,NA,NA,NA,NA,NA,NA,G,published,2020Inostroza
Guallatiri,GUA-20,CVZ,-18.42,-69.09,1.1,-7.7,1.53,NA,1.66,NA,228000000000,NA,G,published,2020Inostroza
Guallatiri,GUA-22,CVZ,-18.42,-69.09,NA,-7.4,NA,NA,NA,NA,NA,NA,G,published,2020Inostroza
Guallatiri,GUA-24,CVZ,-18.42,-69.09,NA,-7.6,NA,NA,NA,NA,NA,NA,G,published,2020Inostroza
Guallatiri,GUA-25,CVZ,-18.42,-69.09,1.5,NA,1.21,NA,1.26,NA,NA,NA,G,published,2020Inostroza
Irrupuncu,IRR,CVZ,-20.72,-68.65,0.68,NA,2.35,NA,3.53,NA,NA,NA,W,published,1994Hoke
Irruputuncu,Ir1,CVZ,-20.73,-68.55,NA,-7.23,7.27,NA,NA,NA,18800000000,NA,G,published,2011Tassi
Irruputuncu,Ir8,CVZ,-20.73,-68.55,NA,-6.53,NA,NA,NA,NA,NA,NA,G,published,2011Tassi
Jujuy Province,AC1,CVZ,-24.55,-64.94,NA,-13.6,NA,NA,NA,NA,NA,NA,W,published,2020PeraltaArnold
Jujuy Province,CA1,CVZ,-23.74,-64.52,NA,-16.4,NA,NA,NA,NA,NA,NA,W,published,2020PeraltaArnold
Jujuy Province,CA2,CVZ,-23.74,-64.52,NA,-17.6,NA,NA,NA,NA,NA,NA,W,published,2020PeraltaArnold
Jujuy Province,CA3,CVZ,-23.74,-64.52,NA,-17.1,NA,NA,NA,NA,NA,NA,W,published,2020PeraltaArnold
Jujuy Province,EJ,CVZ,-23.66,-66.47,NA,-18.7,NA,NA,NA,NA,NA,NA,W,published,2020PeraltaArnold
Jujuy Province,EP1,CVZ,-24.08,-65.54,NA,-13.1,NA,NA,NA,NA,NA,NA,W,published,2020PeraltaArnold
Jujuy Province,EP2,CVZ,-24.08,-65.54,NA,-11.9,NA,NA,0.09,NA,2300000000000,NA,W,published,2020PeraltaArnold
Jujuy Province,EP3,CVZ,-24.08,-65.54,NA,-13.6,NA,NA,NA,NA,NA,NA,W,published,2020PeraltaArnold
Jujuy Province,LQ1,CVZ,-23.89,-64.47,NA,-10.1,NA,NA,0.21,NA,712000000000,NA,G,published,2020PeraltaArnold
Jujuy Province,LQ2,CVZ,-23.89,-64.47,NA,-11,NA,NA,0.17,NA,1090000000000,NA,G,published,2020PeraltaArnold
Jujuy Province,LQ3,CVZ,-23.89,-64.47,NA,-10.4,NA,NA,0.15,NA,1430000000000,NA,G,published,2020PeraltaArnold
Jujuy Province,RE1,CVZ,-20.17,-65.49,NA,-12.5,NA,NA,NA,NA,NA,NA,W,published,2020PeraltaArnold
Jujuy Province,RE2,CVZ,-20.17,-65.49,NA,-12.9,NA,NA,NA,NA,NA,NA,W,published,2020PeraltaArnold
Jujuy Province,RE3,CVZ,-20.17,-65.49,NA,-13.1,NA,NA,NA,NA,NA,NA,W,published,2020PeraltaArnold
Jujuy Province,SA,CVZ,-23.86,-64.43,NA,-10,NA,NA,0.11,NA,1570000000000,NA,W,published,2020PeraltaArnold
Jujuy Province,SA,CVZ,-23.86,-64.43,NA,-11.5,NA,NA,NA,NA,NA,NA,W,published,2020PeraltaArnold
Laguna Socompa,LS,CVZ,-24.55,-68.27,2.5,NA,1.46,NA,1.52,NA,NA,NA,W,published,93Hilton
Lascar,Las11,CVZ,-23.36,-67.73,NA,-1.74,7.29,NA,NA,NA,16600000000,NA,G,published,2009Tassi
Lascar,Las14,CVZ,-23.36,-67.73,NA,-2.33,NA,NA,NA,NA,NA,NA,G,published,2009Tassi
Lascar,Las3,CVZ,-23.36,-67.73,NA,NA,7.08,NA,NA,NA,NA,NA,G,published,2009Tassi
Lascar,Las6,CVZ,-23.36,-67.73,NA,NA,6.41,NA,NA,NA,NA,NA,G,published,2009Tassi
Lascar,Las7,CVZ,-23.36,-67.73,NA,-3.34,NA,NA,NA,NA,NA,NA,G,published,2009Tassi
Lascar,Las9,CVZ,-23.36,-67.73,NA,-2.71,NA,NA,NA,NA,NA,NA,G,published,2009Tassi
Lastarria,Lastarria,CVZ,-25.15,-68.52,199.1,NA,5.12,NA,5.13,NA,NA,NA,G,published,2018Lopez
Lastarria,Lastarria,CVZ,-25.15,-68.52,159.9,NA,5.13,NA,5.14,NA,NA,NA,G,published,2018Lopez
Lastarria,Lastarria CCVG2,CVZ,-25.15,-68.52,157.4,NA,5.27,NA,5.28,NA,NA,NA,G,published,2020Robidoux
Lastarria,Lastarria CCVG3,CVZ,-25.15,-68.52,176.8,NA,5.34,NA,5.35,NA,NA,NA,G,published,2020Robidoux
Lastarria,LSTG-1,CVZ,-25.15,-68.52,56,NA,5.15,NA,NA,NA,71000000000,NA,G,published,2012Aguilera
Lastarria,LSTG-12,CVZ,-25.15,-68.52,85,-2.8,5.44,NA,NA,NA,60000000000,NA,G,published,2012Aguilera
Lastarria,LSTG-14,CVZ,-25.15,-68.52,NA,-1.3,NA,NA,NA,NA,NA,NA,G,published,2012Aguilera
Lastarria,LSTG-15,CVZ,-25.15,-68.52,NA,NA,NA,NA,NA,NA,NA,NA,G,published,2012Aguilera
Lastarria,LSTG-16,CVZ,-25.15,-68.52,255,-2.2,5.75,NA,NA,NA,33000000000,NA,G,published,2012Aguilera
Lastarria,LSTG-17,CVZ,-25.15,-68.52,NA,NA,NA,NA,NA,NA,NA,NA,G,published,2012Aguilera
Lastarria,LSTG-18,CVZ,-25.15,-68.52,648,-1.8,6.17,NA,NA,NA,46000000000,NA,G,published,2012Aguilera
Lastarria,LSTG-19,CVZ,-25.15,-68.52,534,-1.1,5.11,NA,NA,NA,18000000000,NA,G,published,2012Aguilera
Lastarria,LSTG-20,CVZ,-25.15,-68.52,NA,NA,NA,NA,NA,NA,NA,NA,G,published,2012Aguilera
Lastarria,LSTG-21,CVZ,-25.15,-68.52,551,-1.6,4.93,NA,NA,NA,20000000000,NA,G,published,2012Aguilera
Lastarria,LSTG-22,CVZ,-25.15,-68.52,NA,-2.8,NA,NA,NA,NA,NA,NA,G,published,2012Aguilera
Lastarria,LSTG-23,CVZ,-25.15,-68.52,NA,-0.4,NA,NA,NA,NA,NA,NA,G,published,2012Aguilera
Lastarria,LSTG-26,CVZ,-25.15,-68.52,NA,NA,NA,NA,NA,NA,NA,NA,G,published,2012Aguilera
Lastarria,LSTG-27,CVZ,-25.15,-68.52,311,-2.1,6.23,NA,NA,NA,59000000000,NA,G,published,2012Aguilera
Lastarria,LSTG-28,CVZ,-25.15,-68.52,76,-2.6,5.83,NA,NA,NA,120000000000,NA,G,published,2012Aguilera
Lastarria,LSTG-5,CVZ,-25.15,-68.52,NA,-4.1,NA,NA,NA,NA,NA,NA,G,published,2012Aguilera
Lastarria,LSTG-6,CVZ,-25.15,-68.52,38,NA,4.55,NA,NA,NA,220000000000,NA,G,published,2012Aguilera
Lastarria,LSTG-7,CVZ,-25.15,-68.52,NA,NA,NA,NA,NA,NA,NA,NA,G,published,2012Aguilera
Lastarria,LSTG-8,CVZ,-25.15,-68.52,NA,-2.7,NA,NA,NA,NA,NA,NA,G,published,2012Aguilera
Lirlma,LIR,CVZ,-19.85,-68.9,6.72,NA,0.36,NA,0.33,NA,NA,NA,W,published,1994Hoke
Los Banos,LB,CVZ,-25.85,-64.93,0.5,NA,0.8,NA,0.52,NA,NA,NA,W,published,93Hilton
Mamina,MAM,CVZ,-20.47,-69.33,58.9,NA,0.08,NA,0.07,NA,NA,NA,W,published,93Hilton
Mina Conception,MC,CVZ,-20.58,-68.35,2.07,NA,3.01,NA,3.37,NA,NA,NA,G,published,1994Hoke
Mina Pirquitas,mp2,CVZ,-22.7,-66.5,2.7,-7.55,NA,NA,1.39,NA,250000000000,NA,G,published,2017PeraltaArnold
Olca,Ol1,CVZ,-20.94,-68.48,NA,-8.54,6.11,NA,NA,NA,17200000000,NA,G,published,2011Tassi
Olca,Ol2,CVZ,-20.94,-68.48,NA,-8.04,NA,NA,NA,NA,NA,NA,G,published,2011Tassi
Pairique,p1,CVZ,-23.03,-66.82,3.1,-10.8,NA,NA,1.16,NA,430000000000,NA,G,published,2017PeraltaArnold
Pampa Apacheta,PA01,CVZ,-21.83,-68.16,685.2,-4.8,1.81,NA,NA,NA,63000000000,NA,G,published,2010Tassi
Pampa Lirima,PL06,CVZ,-19.84,-68.83,274.1,-15,1.09,NA,NA,NA,10000000000,NA,G,published,2010Tassi
Pizarro,PZ211029,CVZ,-24.23715,-64.15768,25.4,NA,0.51,NA,0.51,0.01,NA,NA,G,published,2021Ago
Pozo,PZ,CVZ,-23.87,-64.45,2.7,NA,0.48,NA,0.41,NA,NA,NA,W,published,93Hilton
Puchuldiza-Tuja,PT02,CVZ,-19.43,-68.91,12.7,-6.4,2.67,NA,NA,NA,66000000000,NA,G,published,2010Tassi
Puchuldiza-Tuja,PT04,CVZ,-19.43,-68.91,4.7,-7.9,2.77,NA,NA,NA,130000000000,NA,G,published,2010Tassi
Puchuldiza-Tuja,PT11,CVZ,-19.43,-68.91,13.8,-3.7,3.07,NA,NA,NA,304000000000,NA,G,published,2010Tassi
Puritana,PU,CVZ,-22.7,-68.57,0.81,NA,1.02,NA,1.03,NA,NA,NA,W,published,1994Hoke
Putana,Pu1,CVZ,-22.56,-67.85,NA,NA,6.15,NA,NA,NA,NA,NA,G,published,2011Tassi
Putana,Pu3,CVZ,-22.56,-67.85,NA,-6.74,NA,NA,NA,NA,NA,NA,G,published,2011Tassi
Putana,Pu4,CVZ,-22.56,-67.85,NA,-7.11,7.14,NA,NA,NA,17400000000,NA,G,published,2011Tassi
Queñual,q4,cvz,-22.4,-66.7,2.1,-8.47,NA,NA,1.21,NA,720000000000,NA,G,published,2017PeraltaArnold
Ratios Pompeja,RPM1,CVZ,-24.25,-66.37,13,NA,2.49,NA,2.53,NA,NA,NA,G,published,93Hilton
Ratios Pompeja,RPM2,CVZ,-24.25,-66.37,139.8,NA,2.55,NA,2.56,NA,NA,NA,G,published,93Hilton
Rio Junthuma,RJ,CVZ,-18.1,-69.03,0.07,NA,1.82,NA,1.82,NA,NA,NA,G,published,1994Hoke
Rosario Coyaguayma,rc1,cvz,-22.98,-6.59,3.9,-11.2,NA,NA,1.26,NA,340000000000,NA,G,published,2017PeraltaArnold
Rosario de la Frontera,RF01,CVZ,-25.84,-64.93,NA,-6.56,NA,NA,NA,NA,NA,NA,W,published,2015Chiodi
Rosario de la Frontera,RF02,CVZ,-25.84,-64.93,NA,-4.11,1.15,NA,NA,NA,136000000000,NA,G,published,2015Chiodi
Rosario de la Frontera,RF03,CVZ,-25.84,-64.93,NA,-7.13,NA,NA,NA,NA,NA,NA,W,published,2015Chiodi
Rosario de la Frontera,RF04,CVZ,-25.84,-64.93,NA,-5.66,NA,NA,NA,NA,NA,NA,W,published,2015Chiodi
Rosario de la Frontera,RF05,CVZ,-25.84,-64.93,NA,-5.16,NA,NA,NA,NA,NA,NA,W,published,2015Chiodi
Rosario de la Frontera,RF06,CVZ,-25.84,-64.93,NA,-4.15,NA,NA,NA,NA,NA,NA,W,published,2015Chiodi
Rosario de la Frontera,RF08,CVZ,-25.84,-64.93,NA,-11.49,NA,NA,NA,NA,NA,NA,W,published,2015Chiodi
Rosario de la Frontera,RF09,CVZ,-25.84,-64.93,NA,-4.11,NA,NA,NA,NA,NA,NA,W,published,2015Chiodi
Rosario de la Frontera,RF10,CVZ,-25.84,-64.93,NA,-3.66,0.98,NA,NA,NA,168000000000,NA,W,published,2015Chiodi
Rosario de la Frontera,RF11,CVZ,-25.84,-64.93,NA,-4.44,NA,NA,NA,NA,NA,NA,W,published,2015Chiodi
Rosario de la Frontera,RF13,CVZ,-25.84,-64.93,NA,-3.77,NA,NA,NA,NA,NA,NA,W,published,2015Chiodi
Sajama,SAJ,CVZ,-18.07,-68.97,NA,NA,1.42,NA,1.42,NA,NA,NA,W,published,1994Hoke
Sala' Tuyajto,STU,CVZ,-23.93,-67.58,3.8,NA,1.77,NA,1.84,NA,NA,NA,W,published,93Hilton
Salar Aguas Cal II,SACII,CVZ,-23.93,-67.65,1.3,NA,1.78,NA,2.04,NA,NA,NA,W,published,93Hilton
Salar Aguas Cal. I,SACI,CVZ,-23.53,-67.65,2.7,NA,1.3,NA,1.34,NA,NA,NA,W,published,93Hilton
Surire,S01,CVZ,-18.83,-69.06,5.5,-4.7,2.73,NA,NA,NA,399000000000,NA,G,published,2010Tassi
Surire,S05,CVZ,-18.83,-69.06,1.8,-4.5,2.39,NA,NA,NA,605000000000,NA,G,published,2010Tassi
Surire-2,SR2,CVZ,-18.92,-68.65,22.29,NA,4.73,NA,4.78,NA,NA,NA,G,published,1994Hoke
Surire-4,SR4,CVZ,-18.92,-68.65,34.39,NA,5.03,NA,5.07,NA,NA,NA,G,published,1994Hoke
Tacora,TAC1,CVZ,-17.7,-69.79,NA,NA,4.32,NA,NA,NA,NA,NA,G,published,2008Aguilera
Tacora,TAC10,CVZ,-17.7,-69.79,NA,-5.29,5.41,NA,NA,NA,3230000000,NA,G,published,2011Capaccioni
Tacora,TAC6,CVZ,-17.7,-69.79,NA,-9.59,NA,NA,NA,NA,NA,NA,G,published,2008Aguilera
Tacora,TAC8,CVZ,-17.7,-69.79,NA,-11.97,NA,NA,NA,NA,NA,NA,G,published,2008Aguilera
Tacora,TAC9,CVZ,-17.7,-69.79,NA,-4.84,5.87,NA,NA,NA,3300000000,NA,G,published,2011Capaccioni
Tocomar,TCM1,CVZ,-24.18,-66.56,NA,-10.62,NA,NA,NA,NA,NA,NA,G,published,2022Filipovich
Tocomar,TCM2,CVZ,-24.18,-66.56,NA,-11.53,NA,NA,1.06,NA,158000000000,NA,G,published,2022Filipovich
Tocomar,TCM3,CVZ,-24.18,-66.56,NA,-10.49,NA,NA,NA,NA,NA,NA,G,published,2022Filipovich
Tocomar,TCM4,CVZ,-24.18,-66.56,NA,-10.65,NA,NA,1.28,NA,89500000000,NA,G,published,2022Filipovich
Tocomar,TCM5,CVZ,-24.18,-66.56,NA,-11.91,NA,NA,NA,NA,NA,NA,G,published,2022Filipovich
Tocomar,TCM6,CVZ,-24.18,-66.56,NA,-10.51,NA,NA,NA,NA,NA,NA,G,published,2022Filipovich
